Task Name,Description,Assignee Role,Start Date,Due Date,Priority,Milestone,Dependencies,Acceptance Criteria,Tags
"Confirm audience and MVP scope","Decide primary learner, platforms, forum versus study-buddy MVP, daily completion rule, and feature exclusions.","CTO","2026-08-10","2026-08-10","Urgent","MVP v1","","Decisions are recorded in ClickUp and linked from the design file; no critical scope choice remains ambiguous.","decision;system"
"Confirm technical and policy constraints","Document authentication, video hosting, live-class provider, AI data/safety, notifications, analytics, payments, privacy, and platform policy constraints.","CTO","2026-08-10","2026-08-10","Urgent","MVP v1","","Each system has an approved constraint or a named owner and decision deadline.","decision;engineering"
"Set up shared design source of truth","Create Foundations, Components, UX, Brand Assets, and Prototype pages plus naming and version rules.","UI/UX Designer","2026-08-10","2026-08-10","High","MVP v1","Confirm audience and MVP scope","Both designers can locate current work; obsolete work is clearly archived; source links are added to ClickUp.","design-ops;shared"
"Create information architecture and navigation hypothesis","Define top-level destinations, content hierarchy, and navigation model for the agreed MVP.","UI/UX Designer","2026-08-10","2026-08-10","Urgent","MVP v1","Navigation covers every in-scope feature and has CTO approval or recorded open questions.","ux;architecture"
"Create screen and state inventory","List screens and required first-use, loading, empty, success, error, offline, permission, locked, payment, and moderation states.","UI/UX Designer","2026-08-10","2026-08-11","High","MVP v1","Every brief feature maps to screens and applicable states with milestone and owner.","ux;inventory"
"Develop visual territory options","Create two or three distinct visual territories tied to approved brand attributes and learner needs.","Graphic Designer","2026-08-10","2026-08-11","Urgent","MVP v1","Each territory includes rationale, type, color, imagery, icon/illustration direction, and accessibility risks.","brand;direction"
"Map eight core user journeys","Map all core journeys from the product brief with entry, decision, success, and failure points.","UI/UX Designer","2026-08-10","2026-08-11","Urgent","MVP v1","All eight journeys are reviewable and linked; dependencies and unresolved decisions are visible.","ux;flow"
"Create critical low-fidelity wireframes","Wireframe onboarding, today/practice, streak, video, dashboard, purchase, AI, live class, and selected community model.","UI/UX Designer","2026-08-11","2026-08-11","Urgent","MVP v1","Wireframes establish hierarchy and task completion without relying on final visual assets.","ux;wireframe"
"Select visual direction","Review visual territories and approve one direction for integration.","CTO","2026-08-11","2026-08-11","Urgent","MVP v1","Selection and requested changes are recorded before end of day.","approval;brand"
"Define shared visual foundations and tokens","Agree semantic color, typography, spacing, radius, icon size, and motion conventions.","Graphic Designer","2026-08-12","2026-08-12","Urgent","MVP v1","Select visual direction; Create critical low-fidelity wireframes","Foundations are named for implementation, pass critical contrast checks, and are approved by UI/UX.","brand;design-system;shared"
"Build starter component system","Create reusable navigation, buttons, fields, cards, progress, content, commerce, feedback, dialog, and state patterns.","UI/UX Designer","2026-08-12","2026-08-13","Urgent","MVP v1","Define shared visual foundations and tokens","Components include key variants and states and are used in MVP v1 screens.","ui;design-system"
"Produce MVP priority graphics","Deliver in-context assets for onboarding, streak/achievement, AI, and key empty states.","Graphic Designer","2026-08-12","2026-08-13","Urgent","MVP v1","Define shared visual foundations and tokens","Editable sources, correct exports, names, usage guidance, and license records are present.","graphics;asset"
"Design MVP v1 high-fidelity screens","Design high-fidelity happy paths for all must-represent features in the brief.","UI/UX Designer","2026-08-12","2026-08-13","Urgent","MVP v1","Build starter component system; Produce MVP priority graphics","Screens use approved foundations and real priority assets and are ready to prototype.","ui;screen"
"Build MVP v1 clickable prototype","Connect critical happy paths and add meaningful loading, completion, error, locked, and permission examples.","UI/UX Designer","2026-08-13","2026-08-13","Urgent","MVP v1","Design MVP v1 high-fidelity screens","Every critical path can be demonstrated without navigating the source file manually.","ux;prototype"
