KPI,Intent,Formula,Target,Review Cadence,Evidence,Owner,Notes
"Milestone predictability","Keep design delivery reliable without rewarding rushed screen counts","Accepted milestone deliverables completed by agreed date / milestone deliverables due","At least 90%","Weekly","ClickUp due dates and acceptance records","UI/UX Designer","Re-baseline only when scope changes are approved by the CTO"
"Critical journey coverage","Ensure every core learner journey is designed end to end","Critical journeys with approved flow and prototype / critical journeys in brief","100% by August 31","Twice weekly","Flow map and prototype links","UI/UX Designer","All eight journeys in the product brief must be covered"
"State coverage","Prevent implementation gaps in non-happy paths","Applicable required states documented / applicable required states identified","At least 95% by handoff","Weekly","Screen inventory and state checklist","UI/UX Designer","Safety and payment-critical states require 100% coverage"
"Design-system reuse","Reduce inconsistency and engineering cost","Screen elements using approved reusable components / eligible repeated screen elements","At least 80% by August 31","Weekly","Component audit in design file","UI/UX Designer","New patterns require a documented reason"
"Usability task success","Confirm that critical flows can be completed","Participants completing each critical task without facilitator rescue / participants attempting task","At least 80% per critical task","At MVP v1 and final prototype","Moderated test notes or structured internal test","UI/UX Designer","Use at least 5 representative users when available; label internal tests separately"
"Critical usability defects","Prevent severe blockers from reaching handoff","Count of unresolved issues that prevent task completion or cause irreversible error","0 at handoff","Twice weekly","Usability issue log","UI/UX Designer","CTO and UI/UX Designer agree severity"
"Accessibility compliance","Make core experiences usable beyond the happy path","Applicable accessibility checks passed / applicable checks performed","100% critical checks; at least 95% overall","Weekly","Contrast results, text scaling review, touch-target and focus notes","UI/UX Designer","Captions, non-color cues, readable contrast, and touch targets are critical"
"Handoff completeness","Give engineering enough detail to implement without guessing","Accepted handoff checklist items / required handoff checklist items","100% for approved milestone","At each handoff","Annotated files, tokens, component states, prototype, and acceptance record","UI/UX Designer","Acceptance is by CTO after engineering review"
"Engineering clarification rate","Expose unclear behavior or missing specifications","Clarification requests caused by missing design detail / screens entering implementation","No more than 10% after final handoff","Weekly during implementation","Linked engineering questions","UI/UX Designer","Do not count genuine product changes or newly discovered technical constraints"
"Cross-design review completion","Keep UI and brand work integrated","Milestone deliverables reviewed by Graphic Designer before approval / milestone deliverables requiring brand review","100%","Twice weekly","Design comments and review checklist","UI/UX Designer","Review must happen in context, not only through exported images"
